scale_1,scale_2,accuracy
400,400,0.24242424242424243
400,500,0.21212121212121213
400,600,0.18181818181818182
400,700,0.23636363636363636
400,800,0.23636363636363636
500,400,0.2787878787878788
500,500,0.21818181818181817
500,600,0.22424242424242424
500,700,0.21818181818181817
500,800,0.23636363636363636
600,400,0.23636363636363636
600,500,0.22424242424242424
600,600,0.18181818181818182
600,700,0.14545454545454545
600,800,0.1696969696969697
700,400,0.2
700,500,0.2
700,600,0.17575757575757575
700,700,0.17575757575757575
700,800,0.1696969696969697
800,400,0.22424242424242424
800,500,0.23636363636363636
800,600,0.17575757575757575
800,700,0.21212121212121213
800,800,0.18787878787878787
